"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"15639";"PREÇO DA PAZ, O";"PREÇO DA PAZ, O";"2003";"PAULO DE TARSO DE CARVALHO MORELLI";"M A PRODUÇÕES ARTISTICAS E CULTURAIS LTDA ME";"00.568.159/0001-07";"06-JUL-12"
"7603";"CARTOMANTE,A";"CARTOMANTE,A";"2002";"WAGNER DE ASSIS E PABLO URANGA";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"13-JUL-04"
"28836";"SHOW DE BOLA";"SHOW DE BOLA";"2006";"M. MAX";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"13-MAR-07"
"17284";"THE GURU";"O GURU DO SEXO";"2002";"DAISY MAYER";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"16-DEC-02"
"4806";"QUIET AMERICAN";"O AMERICANO TRANQUILO";"2002";"PHILLIP NOYCE";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-JAN-03"
"7196";"BOAT TRIP";"CRUZEIRO DAS LOUCAS";"2002";"MORT NATHAN";"IMAGEM FILMES PRODUTORA LTDA";"02.736.672/0001-95";"13-MAY-03"
"14025389";"DUMB AND DUMBERER: WHEN HARRY MET LLOYD";"DEBI & LÓIDE 2: QUANDO DEBI CONHECEU LÓIDE";"2003";"TROY MILLER";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"19-MAY-03"
"1643";"THE  GATHERING";"O  ENCONTRO";"2002";"BRIAN GILBERT";"MOVIE STAR DO BRASIL ENTRETENIMENTO E LAZER LTDA.";"04.658.426/0001-98";"22-AUG-03"
"16000304";"13 GOING ON 30";"DE REPENTE 30";"2004";"GARY WINICK";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"29-OCT-03"
"4825";"SPANGLISH";"ESPANGLES";"2004";"JAMES L. BROOKS";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-MAR-04"
"16005954";"LA PETITE LILI";"A PEQUENA LILI";"2003";"CLAUDE MILLER";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"17-AUG-05"
"7621";"NOBODY KNOWS";"NINGUÉM PODE SABER";"2004";"HIROKAZU KORE-EDA";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"25-NOV-04"
"5787";"HISTÓRIAS MÍNIMAS";"HISTÓRIAS MÍNIMAS";"2002";"CARLOS SORIN";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"20-DEC-05"
"15012";"HAROLD AND KUMAR GO TO WHITE CASTLE";"MADRUGADA MUITO LOUCA";"2004";"DANNY LEINER";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"21-DEC-04"
"4681";"ANNAPOLIS";"A SER DEFINIDO";"2005";"JUSTIN LIN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"25-JAN-05"
"7251";"METENDO ATE AS BOLAS";"METENDO ATE AS BOLAS";"2000";"ROGER LEMOS";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"31-AUG-05"
"15031";"THE SYRIAN BRIDES";"A NOIVA SÍRIA";"2004";"ERAN RIKLIS";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"27-SEP-05"
"15043";"CRY WOLF";"CRY WOLF - O JOGO DA MENTIRA";"2005";"JEFF WADLOW";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"18-OCT-05"
"15001125";"JUST FRIENDS";"APENAS AMIGOS";"2005";"ROGER KUMBLE";"ACTIVITY FILMES DO BRASIL LTDA.";"04.268.162/0001-66";"22-DEC-05"
"14026658";"SEPARATE LIES";"MENTIRAS SINCERAS";"2005";"JULIAN FELLOWES";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"13-JAN-06"
"127056";"THE LAST KISS";"THE LAST KISS";"2006";"TONY GOLDWYN";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"04-OCT-06"
"130396";"FUR - AN IMAGINARY PORTRAIT OF DIANE ARBUS";"A PELE";"2006";"STEVEN SHAINBERG";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"16-OCT-06"
"164406";"SURFISTINHAS";"SURFISTINHAS";"2006";"M. MAX";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"14-MAR-07"
"208786";"O HOMEM QUE DESAFIOU O DIABO";"O HOMEM QUE DESAFIOU O DIABO";"2006";"MOACYR DE GOES FILHO";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"12-JUN-08"
"14028533";"HARRY POTTER AND THE ORDER OF THE PHOENIX";"HARRY POTTER E A ORDEM DA FÊNIX";"2007";"DAVID YATES";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"20-JUN-07"
"195115";"METAL: A HEADBANGER'S JOURNEY";"METAL: A HEADBANGER'S JOURNEY";"2005";"SAMUEL BENCHETRIT";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"03-JUL-07"
"214761";"FÓRUM 2006";"FÓRUM 2006";"2006";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"21-SEP-07"
"214761";"FÓRUM 2006";"FÓRUM 2006";"2006";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"19-JUN-09"
"15009204";"WAITRESS";"GARÇONETE";"2007";"ADRIENNE SHELLY";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"03-OCT-07"
"236786";"VORACIOUS  2";"ELAS MANDAM, NÓS SÓ OBEDECEMOS";"2005";"PAT MYNE";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"07-JAN-08"
"16000787";"27 DRESSES";"VESTIDA PARA CASAR";"2008";"ANNE FLETCHER";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"16-JAN-08"
"15007921";"SWEENEY TODD - THE DEMON BARBER OF FLEET STREET";"SWEENEY TODD O BARBEIRO DEMONÍACO DA RUA FLEET";"2007";"TIM BURTON";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"14-JAN-08"
"241215";"BE  THE MASK 4";"É DOS MASCARADOS QUE ELAS GOSTAM MAIS";"2004";"D. WOODWARD";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"07-JAN-08"
"16006127";"PERSEPOLIS";"PERSÉPOLIS";"2007";"MARJANE SATRAPI";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"21-JAN-08"
"248254";"FOOL´S GOLD";"UM AMOR DE TESOURO";"2007";"ANDY TENNANT";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"18-FEB-08"
"290114";"MEU NOME É DINDI";"MEU NOME É DINDI";"2007";"BRUNO BARBOSA SAFADI";"TB PRODUÇÕES LTDA";"02.342.813/0001-95";"06-NOV-08"
"265301";"O SAL DA TERRA";"O SAL DA TERRA";"2008";"ELOI PIRES FERREIRA";"CAMARADA FILMES LTDA - ME.";"79.052.494/0001-08";"24-APR-08"
"274704";"A GAROTA DO COLEGIO";"A GAROTA DO COLEGIO";"2003";"GILBERTO DONATELLI";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"02-JUN-08"
"14026045";"INCREDIBLE HULK, THE";"O INCRÍVEL HULK";"2008";"LOUIS LETERRIER";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"29-MAY-08"
"16006070";"MALOS HÁBITOS";"MAUS HÁBITOS";"2007";"SIMÓN BROSS";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"20-JUN-08"
"278798";"TERROR¿S ADVOCATE (AKA: L¿AVOCAT DE LA TERREUR)";"TERROR¿S ADVOCATE (AKA: L¿AVOCAT DE LA TERREUR)";"2007";"BARBET SCHROEDER";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"13-JUN-08"
"280633";"READY SET ACTION";"FOREVER: O FILME";"2007";"CHUCK LORDS";"F. J. CINES LTDA";"61.574.109/0001-27";"20-JUN-08"
"284389";"THE X-FILES: I WANT TO BELIEVE";"ARQUIVO X: EU QUERO ACREDITAR";"2008";"CHRIS CARTER";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"09-JUL-08"
"351251";"BABY FACE";"BABY FACE";"2004";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"31-MAR-09"
"349701";"PAGODE SEXUAL";"PAGODE SEXUAL";"2008";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"31-MAR-09"
"345398";"ELZA";"ELZA";"2008";"IZABEL JAGUARIBE DE MATTOS";"DE FELIPPES FILMES E PRODUÇÕES LTDA";"08.427.088/0001-34";"25-NOV-10"
"16005538";"BRUNO";"BRUNO";"2009";"LARRY CHARLES";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"24-JUN-09"
"383412";"OS NORMAIS 2";"OS NORMAIS 2";"2009";"JOSE ALVARENGA JUNIOR";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"18-AUG-09"
"16006378";"WHITEOUT";"TERROR NA ANTÁRTIDA";"2009";"DOMINIC SENA";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"02-SEP-09"
"15002734";"THE TWILIGHT SAGA: NEW MOON";"A SAGA CREPÚSCULO: LUA NOVA";"2009";"CHRIS WEITZ";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"14-OCT-09"
"16005894";"HOW TO BE";"UMA VIDA SEM REGRAS";"2008";"OLIVER IRWING";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"16-DEC-09"
"16005448";"LISSI AND THE WILD EMPEROR";"LISSI E O REINO DOS BIRUTAS";"2007";"MICHAEL BULLY HERBIG";"SERENDIP FILMES LTDA";"06.911.780/0001-08";"04-JAN-10"
"15006681";"COCO CHANEL & IGOR STRAVISNSKY";"COCO CHANEL & IGOR STRAVISNSKY";"2009";"JAN KOUNEN";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"28-MAY-10"
"15004413";"I LOVE YOU PHILLIP MORRIS";"O GOLPISTA DO ANO";"2009";"JOHN REQUA";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"08-MAR-10"
"16002628";"THE A-TEAM";"ESQUADRÃO CLASSE A";"2010";"JOE CARNAHAN";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"07-JUN-10"
"473802";"QUEBRADEIRAS";"QUEBRADEIRAS";"2009";"EVALDO SERGIO VINAGRE MOCARZEL";"RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.";"08.331.280/0001-22";"03-JUN-15"
"504273";"APARECIDA, O MILAGRE";"APARECIDA, O MILAGRE";"2010";"TIZUKA YAMASAKI";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"03-JUN-15"
"15002290";"LOVE AND OTHER DRUGS";"AMOR E OUTRAS DROGAS";"2010";"EDWARD ZWICK";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"03-JUN-15"
"16002036";"MR. POPPER´S PENGUINS";"OS PINGUINS DO PAPAI";"2011";"MARK WATERS";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"03-JUN-15"
"16002032";"WINNIE THE POOH";"WINNIE THE POOH";"2011";"DON HALL;STEPHEN J. ANDERSON";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"03-JUN-15"
"570026";"UM PAÍS MAIS JUSTO";"UM PAÍS MAIS JUSTO";"2008";"WALDIR DUMINELLI JUNIOR";"INFOCUS PROMOÇÕES E EVENTOS LTDA.";"04.979.511/0001-58";"08-JUL-11"
"619950";"MENTIRAS SINCERAS";"MENTIRAS SINCERAS";"2011";"PEDRO ASBEG";"CAVIDEO PRODUÇÕES, COMÉRCIO E LOCAÇÃO DE FILMES LTDA - ME";"01.666.326/0001-15";"10-MAR-14"
"15007818";"RESIDENT EVIL: RETRIBUTION";"RESIDENT EVIL 5: RETRIBUIÇÃO";"2012";"PAUL W.S. ANDERSON";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"11-APR-12"
"16001964";"LA DÉLICATESSE";"A DELICADEZA DO AMOR";"2011";"STÉPHANE FOENKINOS;DAVID FOENKINOS";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"28-FEB-12"
"16001926";"THE EXTRA MAN";"OS ACOMPANHANTES";"2010";"ROBERT PULCINI E SHARA SPRINGER BERMAN";"MARES FILMES LTDA";"07.257.887/0001-47";"10-APR-12"
"631870";"O DIA QUE DUROU 21 ANOS";"O DIA QUE DUROU 21 ANOS";"2011";"CAMILO GALLI TAVARES";"PEQUI FILMES LTDA";"06.247.686/0001-04";"17-APR-19"
"686075";"FILME JARDIM ATLÂNTICO";"FILME JARDIM ATLÂNTICO";"2012";"WILLIAM CUBITS CAPELA";"WILLIAM CUBITS CAPELA";"05.246.567/0001-66";"20-MAY-13"
"15003653";"ALEX CROSS";"A SOMBRA DO INIMIGO";"2012";"ROB COHEN";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"13-SEP-12"
"16001674";"ADDICTED TO BOOBS 3";"ESTRELAS DO SEXO 3";"2007";"MARK WOOD";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"11-SEP-12"
"16001851";"THE DINOSAUR PROJECT";"PROJETO DINOSSAURO";"2012";"SID BENNETT";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"24-JUL-12"
"673062";"NOITES DE REIS";"NOITES DE REIS";"2012";"VINICIUS DIAS DOS REIS";"EL DESIERTO FILMES LTDA ME";"05.617.531/0001-41";"13-MAR-13"
"16001199";"EL FANTASTICO MUNDO DE JUAN OROL";"O FANTASTICO MUNDO DE JUAN OROL";"2012";"SEBASTIAN DEL AMO";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"23-JAN-14"
"15002519";"RELATOS SALVAJES";"RELATOS SELVAGENS";"2014";"DAMIÁN SZIFRÓN";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"13-AUG-14"
"14027864";"THE BEST OF ME";"O MELHOR DE MIM";"2014";"MICHAEL HOFFMAN";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"29-AUG-14"
"5871";"COMO FAZER UM FILME DE AMOR";"COMO FAZER UM FILME DE AMOR";"2004";"JOSE ROBERTO TORERO FERNANDES JUNIOR";"EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A";"01.610.349/0001-08";"22-JUN-04"
"14026027";"THE EXPENDABLES 3";"OS MERCENÁRIOS 3";"2014";"PATRICK HUGHES";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"15-JUL-14"
"713985";"INSÔNIA";"INSÔNIA";"2011";"CARLOS ALBERTO COSTA SOUZA";"CIRCUITO CINEARTE LTDA";"01.425.583/0001-65";"24-DEC-13"
"15001622";"STUART LITTLE 2";"O PEQUENO STUART LITTLE 2";"2002";"ROB MINKOFF";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"12-JUL-02"
"4771";"LONE STAR STATE OF MIND";"A SER DEFINIDO";"2002";"DAVID SEMEL";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"22-MAY-06"
"4730";"FRANK MCKLUSKY, C.I.";"A SER DEFINIDO";"2002";"ARLENE SANFORD";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"22-MAY-06"
"16001127";"GOD'S NOT DEAD";"DEUS NÃO ESTÁ MORTO";"2014";"HAROLD CRONK";"GRAÇA FILMES PRODUTORA E DISTRIBUIDORA LTDA";"11.292.373/0001-08";"03-JUN-14"
"14026411";"L'ÉCUME DES JOURS";"ESPUMA DOS DIAS, A";"2013";"MICHEL GONDRY";"PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP";"08.656.129/0001-64";"29-APR-13"
"15006206";"THE INTERNSHIP";"OS ESTAGIÁRIOS";"2013";"SHAWN LEVY";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"15-AUG-13"
"16002304";"CHEF";"CHEF";"2014";"JON FAVREAU";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"10-APR-14"
"14025499";"LA FILLE MAL GARDÉE";"LA FILLE MAL GARDÉE";"2014";"FREDERICK ASHTON'S";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"28-MAY-13"
"14024215";"NEIGHBORS";"VIZINHOS";"2014";"NICHOLAS STOLLER";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-APR-14"
"15001200";"MALEFICENT";"MALÉVOLA";"2014";"ROBERT STROMBERG";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"05-MAY-14"
"15007622";"HORNS";"AMALDIÇOADO";"2013";"ALEXANDRE AJA";"DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.";"17.095.184/0001-13";"12-MAR-15"
"3826";"XUXA E OS DUENDES";"XUXA E OS DUENDES";"2001";"PAULO SERGIO ALMEIDA";"DILER & ASSOCIADOS LTDA";"00.291.470/0001-51";"18-MAR-03"
"15342";"CRIME DELICADO";"CRIME DELICADO";"2005";"ROBERTO GARCIA BRANT DE CARVALHO";"DRAMA FILMES LTDA.";"02.902.219/0001-01";"20-JUN-06"
"167574";"ANAL TOTAL VOL. 09";"ANAL TOTAL VOL. 09";"2004";"LENILDO MAURÍCIO DA SILVA";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"13-MAR-07"
"15226";"BLUE CRUSH";"A ONDA DOS SONHOS";"2002";"JOHN STOCKWEEL";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"16-DEC-02"
"4887";"WHAT TO DO IN CASE OF FIRE";"O QUE FAZER EM CASO DE INCÊNDIO";"2002";"GERGOR SCHNITZER";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"23-SEP-02"
"16006074";"MARIE-JO EST SÉS DEUX AMOURS";"MARIE-JO E SEUS DOIS AMORES";"2002";"ROBERT GUÉDIGUIAN";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"18-OCT-02"
"3756";"DEMONLOVER";"ESPIONAGEM NA REDE";"2002";"OLIVIER ASSAYAS";"CONSORCIO EUROPA";"00.284.468/0001-55";"28-MAY-04"
"11919";"SIN EATER";"DEVORADOR DE PECADOS";"2002";"BRIAN HELGELAND";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"15-OCT-03"
"7301";"PIECES OF APRIL";"DO JEITO QUE ELA É";"2002";"PETER HEDGES";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"02-JAN-07"
"4764";"LADYKILLERS";"OS MATADORES DE VELHINHAS";"2003";"ETHAN COEN/ JOEL COEN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"19-JAN-04"
"14026477";"VAN HELSING";"VAN HELSING - O CAÇADOR DE MONSTROS";"2004";"STEPHEN SOMMERS";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"26-APR-04"
"10927";"THE  7TH.  DAY";"O  7.  DIA";"2003";"CARLOS SAURA";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"16-JUN-04"
"5960";"THE EMPEROR'S JOURNEY";"A MARCHA DOS PINGUINS";"2004";"LUC JACQUET";"EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A";"01.610.349/0001-08";"15-APR-05"
"8630";"FAMILIA RODANTE";"FAMILIA RODANTE";"2004";"PABLO TRAPERO";"LPR IMPORTAÇÃO EXPORTAÇÃO E SERVIÇOS LTDA";"60.704.533/0001-86";"12-AUG-05"
"7243";"DUENDES E SAFADAS";"DUENDES E SAFADAS";"2001";"ROGER LEMOS";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"31-AUG-05"
"15024";"BÁSICO 2";"BÁSICO 2";"1997";"WAGNER STANLAY LUZ DE MIRANDA";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"01-SEP-05"
"20228";"TAPAS";"TAPAS - VOCÊ NUNCA SABE O QUE VEM DEPOIS";"2005";"JOSÉ CORBACHO E JUAN CRUZ";"ALIANCE EMPRESA DE AUDIOVISUAL EIRELI";"04.556.166/0001-40";"07-JUN-06"
"15092";"FOGO NO RABO";"FOGO NO RABO";"1999";"ROGER LEMOS";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"25-JAN-06"
"15098";"CONFRONTO FINAL";"CONFRONTO FINAL";"2002";"ALONSO JOSÉ GONÇALVES";"KARINA FILMES PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME";"19.733.567/0001-03";"01-DEC-05"
"16006226";"SECRET LIFE OF WORDS";"A VIDA SECRETA DAS PALAVRAS";"2005";"ISABEL COIXET";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"09-JUN-06"
"15007676";"THE COVENANT";"O PACTO";"2006";"RENNY HARLIN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"19-SEP-06"
"136461";"CHILDREN OF MEN";"FILHOS DA ESPERANÇA";"2006";"ALFONSO CUARÓN";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"22-NOV-06"
"179681";"HÉRCULES 56";"HÉRCULES 56";"2007";"SILVIO PIROPO DA RIN";"AMADO ARTE & PRODUÇÃO LTDA";"02.229.260/0001-69";"27-FEB-08"
"16005918";"INLAND EMPIRE";"INLAND EMPIRE";"2006";"DAVID LYNCH";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"08-JUN-07"
"14026661";"SIMPSONS MOVIE, THE";"SIMPSONS - O FILME, OS";"2007";"DAVID SILVERMAN";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"18-JUL-07"
"316246";"DESERTO FELIZ";"DESERTO FELIZ";"2007";"PAULO MAURÍCIO GERMANY CALDAS";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"05-NOV-08"
"214759";"O MELHOR DO ANAL TOTAL";"O MELHOR DO ANAL TOTAL";"2007";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"21-SEP-07"
"14026446";"SE, JIE";"DESEJO E PERIGO";"2007";"ANG LEE";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"30-APR-08"
"271976";"PEITUDAS & CIA. VOLUME 2";"PEITUDAS & CIA. VOLUME 2";"2005";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"26-MAY-08"
"271872";"VIOLAÇÃO ANAL VOLUME 3";"VIOLAÇÃO ANAL VOLUME 3";"2005";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"26-MAY-08"
"16000774";"MEET DAVE";"O GRANDE DAVE";"2008";"BRIAN ROBBINS";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"16-JUL-08"
"16006384";"YO SOY LA JUANI";"MEU NOME É JUANI";"2006";"BIGAS LUNA";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"20-JUN-08"
"356286";"SENHORES DO VENTO";"SENHORES DO VENTO";"2008";"ISABELLA DE SOUZA NICOLAS";"YOULE FILMES LTDA";"03.257.178/0001-00";"07-APR-09"
"391452";"VIAJO PORQUE PRECISO, VOLTO PORQUE TE AMO";"VIAJO PORQUE PRECISO, VOLTO PORQUE TE AMO";"2009";"MARCELO GOMES";"SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA)";"01.216.636/0001-38";"19-APR-11"
"401366";"GETTING STONED 2";"DETONANDO A AMERICA";"2006";"LEE STONE";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"22-SEP-09"
"414493";"B1";"B1";"2009";"FELIPE FERNANDES BRAGA";"RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.";"05.840.498/0001-14";"30-DEC-10"
"414493";"B1";"B1";"2009";"FELIPE FERNANDES BRAGA";"SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA)";"01.216.636/0001-38";"21-JUL-10"
"420746";"ANTES QUE O MUNDO ACABE";"ANTES QUE O MUNDO ACABE";"2009";"ANA LUIZA NUNES AZEVEDO";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"05-JAN-10"
"15004608";"ONDINE";"ONDINE";"2009";"NEIL JORDAN";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"08-MAR-10"
"451766";"O SOL DO MEIO DIA";"O SOL DO MEIO DIA";"2006";"ELIANE DIAS CAFFE ALVES";"POLITHEAMA E FILMES LTDA.";"05.078.128/0001-91";"30-SEP-10"
"16002159";"THE LAST AIRBENDER";"O ÚLTIMO MESTRE DO AR";"2010";"M. NIGHT SHYAMALAN";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"03-JUN-15"
"488525";"TERRA DEU, TERRA COME";"TERRA DEU, TERRA COME";"2010";"RODRIGO LOPES SIQUEIRA";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"04-OCT-10"
"16006276";"SUNSHINE CLEANING";"SUNSHINE CLEANING";"2008";"CHRISTINE JEFFS";"MARES FILMES LTDA";"07.257.887/0001-47";"01-OCT-10"
"545974";"A FALTA QUE NOS MOVE";"A FALTA QUE NOS MOVE";"2009";"CHRISTIANNE JATAHY DE ALMEIDA CARNEIRO";"TAMBELLINI FILMES E PRODUÇÕES AUDIOVISUAIS LTDA";"29.269.719/0001-04";"10-MAY-11"
"16002189";"BIBLIOTHEQUE PASCAL";"BIBLIOTECA PASCAL";"2010";"SZABOLCS HAJDU";"TUCUMÁN DISTRIBUIDORA DE FILMES LTDA";"10.681.698/0001-01";"27-AUG-13"
"15008818";"HUBBLE 3D";"HUBBLE 3D";"2010";"TONI MYERS";"CINEARTE POMPEIA LTDA";"08.658.141/0001-08";"01-JUL-11"
"16002180";"FINAL DESTINATION 5";"PREMONIÇÃO 5";"2011";"STEVEN QUALE";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"03-JUN-15"
